Domain;Fluent;Accumulated Reward (LB);Accumulated Reward (UB);Range (fluent);Range (regular MDP);Score (as Diff);Score (as Explained Interval)
HVAC;regular;-1763507.4573582604;-162059.2179987975;1601448.2393594629;1601448.2393594629;0.0;1.0
HVAC;temp-zone___z1;-1787215.0676818956;-144044.9900108286;1643170.0776710669;1601448.2393594629;41721.83831160399;1.0260525674737335
HVAC;temp-zone___z2;-1782108.1256546876;-149576.16655935385;1632531.9590953337;1601448.2393594629;31083.719735870836;1.019409756101954
HVAC;temp-zone___z3;-1789079.2864751737;-125515.52798745659;1663563.758487717;1601448.2393594629;62115.51912825415;1.0387870913349648
HVAC;temp-zone___z4;-1816311.8535976375;-178769.27455297814;1637542.5790446594;1601448.2393594629;36094.33968519652;1.022538561533299
HVAC;temp-zone___z5;-1736216.0513620493;-92881.33915725943;1643334.71220479;1601448.2393594629;41886.47284532711;1.0261553710047355
HVAC;temp-heater___h1;-inf;inf;inf;1601448.2393594629;inf;inf
HVAC;temp-heater___h2;-inf;inf;inf;1601448.2393594629;inf;inf
HVAC;temp-heater___h3;-inf;inf;inf;1601448.2393594629;inf;inf
HVAC;temp-heater___h4;-inf;inf;inf;1601448.2393594629;inf;inf
HVAC;temp-heater___h5;-inf;inf;inf;1601448.2393594629;inf;inf
HVAC;occupied___z1;-1763507.4573582604;-127841.17958226638;1635666.277775994;1601448.2393594629;34218.03841653117;1.0213669337388123
HVAC;occupied___z2;-1763507.4573582604;-155423.15771466968;1608084.2996435908;1601448.2393594629;6636.060284127947;1.0041437869304988
HVAC;occupied___z3;-1763507.4573582604;-156879.0315654855;1606628.425792775;1601448.2393594629;5180.1864333120175;1.0032346886436891
HVAC;occupied___z4;-1763507.4573582604;-140311.30537497925;1623196.1519832811;1601448.2393594629;21747.912623818265;1.0135801533195459
HVAC;occupied___z5;-1763507.4573582604;-67782.21025778916;1695725.2471004713;1601448.2393594629;94277.00774100842;1.0588698438225619
